idMeta,SerialNumber,CollectionDate,DataType,Household_idHousehold,Quality,uploaded
3486,10,2018-07-08,A,10586,36,"2018-07-11 16:15:35"
3487,37,2018-07-06,A,10588,2,"2018-07-11 15:26:32"
3488,2,NULL,A,10588,0,NULL
3489,35,NULL,A,10588,0,NULL
3490,4,2018-07-06,A,10590,33,"2018-07-11 15:55:17"
3491,3,2018-07-08,A,10590,2,"2018-07-11 15:54:26"
3492,36,2018-07-08,A,10590,41,"2018-07-11 15:53:37"
3493,65,2018-07-08,A,10592,26,"2018-07-11 16:22:01"
3494,51,2018-07-07,A,10592,15,"2018-07-11 16:22:19"
3495,26,2018-07-06,A,10603,63,"2018-07-12 10:33:23"
3496,21180,2018-07-08,E,10544,28,"2018-07-12 12:31:38"
3497,21040,2018-07-08,E,10546,0,"2018-07-12 09:38:51"
3498,21010,2018-07-08,E,10550,12,"2018-07-12 09:24:58"
3499,21230,2018-07-08,E,10551,28,"2018-07-13 08:49:05"
3500,21130,2018-07-08,E,10552,0,"2018-07-12 12:08:51"
3501,21150,2018-07-08,E,10553,0,"2018-08-22 13:32:47"
3502,21190,2018-07-08,E,10555,28,"2018-07-17 11:19:00"
3504,21210,2018-07-08,E,10559,29,"2018-07-12 09:51:09"
3505,21100,2018-07-08,E,10561,28,"2018-07-12 09:14:43"
3506,21080,2018-07-08,E,10562,28,"2018-07-11 15:12:27"
3507,21110,2018-07-08,E,10563,28,"2018-07-12 10:46:35"
3508,21120,2018-07-08,E,10564,28,"2018-07-13 10:43:42"
3509,21220,2018-07-08,E,10565,0,"2018-07-12 11:45:30"
3510,21240,2018-07-08,E,10570,27,"2018-07-12 10:56:40"
3511,21070,NULL,E,10571,NULL,NULL
3512,21020,2018-07-08,E,10572,28,"2018-07-13 11:12:24"
3513,21030,2018-07-08,E,10573,0,"2018-07-12 09:35:42"
3514,21090,2018-07-08,E,10576,28,"2018-07-12 09:19:04"
3515,21270,2018-07-08,E,10577,28,"2018-07-13 12:26:39"
3516,21170,2018-07-08,E,10581,29,"2018-07-12 11:12:08"
3517,2116,2018-07-08,E,10584,24,"2018-07-12 12:02:29"
3518,21200,2018-07-08,E,10586,28,"2018-07-12 11:56:07"
3519,-1,2018-07-08,E,10588,28,"2018-07-11 20:51:41"
3520,21140,2018-07-08,E,10590,28,"2018-07-13 08:45:10"
3521,21050,2018-07-08,E,10592,28,"2018-07-12 12:12:38"
3522,21260,2018-07-08,E,10603,28,"2018-07-12 09:26:45"
